iter	Passed	Remaining
0	68	68684
1	69	34729
2	70	23471
3	72	17998
4	73	14662
5	75	12455
6	76	10789
7	76	9537
8	77	8558
9	78	7787
10	79	7149
11	80	6607
12	81	6150
13	82	5779
14	83	5455
15	85	5263
16	86	5020
17	88	4834
18	89	4615
19	90	4420
20	91	4252
21	91	4089
22	92	3940
23	93	3802
24	94	3676
25	95	3559
26	95	3459
27	97	3368
28	98	3312
29	100	3264
30	102	3188
31	103	3123
32	104	3054
33	105	2997
34	106	2941
35	107	2877
36	108	2817
37	108	2759
38	109	2702
39	110	2649
40	111	2601
41	148	3397
42	151	3371
43	153	3324
44	154	3277
45	155	3231
46	157	3188
47	159	3156
48	163	3179
49	165	3143
50	167	3110
51	169	3088
52	171	3055
53	171	3012
54	172	2967
55	173	2923
56	174	2881
57	174	2840
58	175	2801
59	176	2766
60	177	2731
61	178	2696
62	188	2808
63	189	2778
64	190	2744
65	191	2711
66	192	2678
67	193	2647
68	195	2631
69	197	2618
70	198	2595
71	199	2577
72	200	2549
73	201	2522
74	202	2495
75	203	2468
76	203	2443
77	204	2417
78	206	2402
79	207	2381
80	207	2358
81	208	2337
82	209	2311
83	210	2290
84	211	2279
85	212	2262
86	214	2246
87	215	2237
88	216	2219
89	217	2202
90	218	2186
91	219	2168
92	220	2150
93	221	2132
94	221	2113
95	222	2097
96	223	2082
97	226	2081
98	227	2067
99	228	2060
100	229	2045
101	230	2030
102	231	2014
103	232	1999
104	232	1984
105	233	1969
106	234	1955
107	234	1940
108	235	1926
109	236	1913
110	237	1900
111	238	1887
112	238	1874
113	240	1868
114	241	1857
115	243	1852
116	244	1842
117	244	1830
118	245	1819
119	246	1808
120	247	1796
121	247	1783
122	248	1772
123	249	1761
124	250	1751
125	250	1740
126	251	1728
127	252	1718
128	252	1708
129	254	1703
130	256	1698
131	257	1694
132	258	1685
133	259	1677
134	260	1668
135	261	1659
136	261	1649
137	262	1640
138	263	1631
139	264	1622
140	264	1613
141	265	1603
142	266	1594
143	266	1585
144	267	1577
145	268	1570
146	269	1564
147	270	1559
148	272	1556
149	273	1548
150	274	1540
151	274	1533
152	275	1525
153	276	1518
154	277	1510
155	277	1503
156	278	1496
157	279	1488
158	280	1481
159	280	1473
160	281	1465
161	281	1458
162	283	1453
163	284	1448
164	285	1444
165	286	1441
166	287	1435
167	288	1428
168	289	1422
169	290	1415
170	290	1409
171	291	1403
172	292	1396
173	293	1391
174	293	1385
175	294	1379
176	295	1373
177	296	1367
178	296	1361
179	298	1358
180	299	1355
181	301	1357
182	302	1351
183	303	1346
184	304	1340
185	305	1335
186	305	1329
187	306	1324
188	307	1320
189	308	1314
190	309	1309
191	309	1303
192	310	1298
193	311	1293
194	312	1291
195	314	1288
196	315	1287
197	317	1284
198	317	1279
199	318	1274
200	319	1270
201	320	1265
202	321	1261
203	321	1256
204	322	1251
205	323	1246
206	324	1242
207	325	1237
208	325	1232
209	326	1228
210	327	1226
211	329	1224
212	330	1222
213	331	1218
214	332	1213
215	333	1209
216	333	1204
217	334	1200
218	335	1195
219	336	1191
220	336	1187
221	337	1182
222	338	1178
223	339	1174
224	339	1170
225	341	1170
226	343	1168
227	344	1166
228	345	1163
229	346	1159
230	347	1155
231	347	1151
232	348	1147
233	349	1143
234	349	1139
235	350	1135
236	351	1131
237	352	1127
238	352	1123
239	353	1119
240	354	1115
241	354	1111
242	356	1111
243	357	1108
244	359	1107
245	360	1104
246	361	1101
247	361	1097
248	362	1094
249	363	1090
250	364	1087
251	365	1083
252	365	1079
253	366	1076
254	367	1073
255	368	1070
256	369	1067
257	371	1066
258	372	1064
259	373	1063
260	375	1062
261	376	1060
262	377	1057
263	378	1054
264	379	1051
265	380	1048
266	381	1046
267	381	1042
268	382	1040
269	383	1037
270	385	1037
271	386	1035
272	388	1033
273	389	1031
274	390	1028
275	391	1026
276	391	1023
277	392	1019
278	393	1016
279	394	1013
280	395	1011
281	395	1008
282	396	1005
283	397	1002
284	398	999
285	399	996
286	400	995
287	402	994
288	404	994
289	405	991
290	405	989
291	406	986
292	407	983
293	408	981
294	409	978
295	410	975
296	410	972
297	411	969
298	412	966
299	412	963
300	415	963
301	417	965
302	419	964
303	420	963
304	421	961
305	422	958
306	423	956
307	424	954
308	425	951
309	426	950
310	427	947
311	429	947
312	430	945
313	432	945
314	433	943
315	434	941
316	436	939
317	437	937
318	438	935
319	439	933
320	440	930
321	441	929
322	442	926
323	444	927
324	446	927
325	448	927
326	449	925
327	450	922
328	451	920
329	451	917
330	452	914
331	453	912
332	454	909
333	455	907
334	455	904
335	456	902
336	457	900
337	459	899
338	460	898
339	462	897
340	463	895
341	464	893
342	465	890
343	465	888
344	466	886
345	467	883
346	468	880
347	468	878
348	469	876
349	470	873
350	471	871
351	471	868
352	473	866
353	474	865
354	476	865
355	477	863
356	478	861
357	478	858
358	479	856
359	480	854
360	481	851
361	481	849
362	482	846
363	483	844
364	484	842
365	484	839
366	485	837
367	486	835
368	487	833
369	488	832
370	490	831
371	491	829
372	492	827
373	493	825
374	494	823
375	494	821
376	495	818
377	496	816
378	497	814
379	497	812
380	498	809
381	499	807
382	499	805
383	500	803
384	501	801
385	503	800
386	504	799
387	505	797
388	506	795
389	507	793
390	508	791
391	508	789
392	509	787
393	510	784
394	511	782
395	511	780
396	512	778
397	513	776
398	514	774
399	514	772
400	515	770
401	517	769
402	518	768
403	519	766
404	520	764
405	521	762
406	522	760
407	522	758
408	523	756
409	524	754
410	524	752
411	525	750
412	526	748
413	527	746
414	528	744
415	528	742
416	529	740
417	530	738
418	531	737
419	533	736
420	534	734
421	535	732
422	535	730
423	536	729
424	537	727
425	538	725
426	538	723
427	539	721
428	540	719
429	541	717
430	541	715
431	542	713
432	543	711
433	544	709
434	545	708
435	546	707
436	548	706
437	549	704
438	550	702
439	550	701
440	551	699
441	552	697
442	553	695
443	553	693
444	554	691
445	555	689
446	556	688
447	557	686
448	557	684
449	558	682
450	559	681
451	561	680
452	562	679
453	563	678
454	564	676
455	565	674
456	566	672
457	567	671
458	567	669
459	568	667
460	569	665
461	570	663
462	570	662
463	571	660
